doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hust-study-plan-2026,data/hust-academic-services/hust-study-plan-2026.md,Đăng ký kế hoạch học tập kỳ hè 2025-2026 và kỳ 1 2026-2027,https://ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27235,2026-08-03,2026-03,public-page
hust-class-registration-20261,data/hust-academic-services/hust-class-registration-20261.md,Kế hoạch đăng ký lớp kỳ 1 năm học 2026-2027,https://ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=29240,2026-08-03,2026-07,public-page
hust-class-registration-summer-2026,data/hust-academic-services/hust-class-registration-summer-2026.md,Kế hoạch đăng ký lớp học kỳ hè 2025-2026,https://ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=29239,2026-08-03,2026-07,public-page
hust-full-class-math-request,data/hust-academic-services/hust-full-class-math-request.md,Đăng ký bổ sung học phần Toán khi lớp đã đầy,https://fami.hust.edu.vn/thong-bao-sinh-vien/thong-bao-dang-ky-bo-sung-cac-hoc-phan-mon-toan-ky-2025-2/,2026-08-03,2026-02-05,public-page
hust-tuition-by-credits,data/hust-academic-services/hust-tuition-by-credits.md,Học phí theo số tín chỉ đăng ký,https://www.hust.edu.vn/vi/sinh-vien/van-ban-quy-che/hoc-phi-383626.html,2026-08-03,2019-03-28,public-page
hust-sie-study-registration,data/hust-academic-services/hust-sie-study-registration.md,Hướng dẫn đăng ký học tập cho sinh viên SIE,https://soict.hust.edu.vn/huong-dan-dang-ky-hoc-tap-cho-sinh-vien-sie.html,2026-08-03,2024-08-28,public-page
hust-sie-course-substitution,data/hust-academic-services/hust-sie-course-substitution.md,Hướng dẫn đăng ký học phần thay thế cho sinh viên SIE,https://soict.hust.edu.vn/huong-dan-sinh-vien-sie-dang-ky-hoc-phan-thay-the-ky-2024-2.html,2026-08-03,2025-01-21,public-page
hust-course-not-offered,data/hust-academic-services/hust-course-not-offered.md,Hướng dẫn khi học phần không mở trong học kỳ tới,https://fami.hust.edu.vn/thong-bao-sinh-vien/huong-dan-dang-ky-hoc-tap-cho-cac-hoc-phan-khong-mo-trong-hoc-ky-toi/,2026-08-03,not-stated,public-page
hust-course-registration-system-guide,data/hust-academic-services/hust-course-registration-system-guide.md,Hướng dẫn đăng ký lớp trên hệ thống mới,https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_huongdan/HD%20DKHT-2026-V1_20251210.pdf,2026-08-03,2025-12-10,public-page
hust-credit-training-regulation,data/hust-academic-services/hust-credit-training-regulation.md,Quy chế đào tạo theo tín chỉ và đăng ký học tập,https://hust.edu.vn/uploads/sys/quality-assurance/2019/04/tme-10-01-01-qcdttc2007-quy-che-dao-tao-tin-chi2007.397247.16681.pdf,2026-08-03,2007,public-page
