doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
ctu-quy-trinh-dong-hoc-phi,data\k3_university\ctu-quy-trinh-dong-hoc-phi.md,Quy trình đóng học phí (CTU),https://dfa.ctu.edu.vn/quy-trinh-thu-tuc/quy-trinh-dong-hoc-phi.html,2026-08-03,not-stated,public-source
ftu-quy-dinh-thu-nop-hoc-phi,data\k3_university\ftu-quy-dinh-thu-nop-hoc-phi.md,Quy định về thu nộp học phí đối với sinh viên (FTU),https://khoadaotaotructuyen.ftu.edu.vn/van-ban-bieu-mau/quy-dinh-ve-thu-nop-hoc-phi-doi-voi-sinh-vien/,2026-08-03,not-stated,public-source
hanu-muon-tra-tai-lieu,data\k3_university\hanu-muon-tra-tai-lieu.md,Mượn trả tài liệu thư viện (HANU),https://lib.hanu.edu.vn/contentbrowser.aspx?mnuid=133&contentid=3305,2026-08-03,not-stated,public-source
iubh-noi-quy-ky-tuc-xa,data\k3_university\iubh-noi-quy-ky-tuc-xa.md,Nội quy ký túc xá (IUBH),https://iubh.edu.vn/noi-quy-ky-tuc-xa,2026-08-03,not-stated,public-source
k3-course-registration,data/k3_university/course-registration.md,Đăng ký học phần,https://example.edu/hoc-vu/dang-ky-hoc-phan,2026-08-02,2026.1,example-template-replace-me
k3-library-services,data/k3_university/library-services.md,Dịch vụ thư viện,https://example.edu/thu-vien/dich-vu,2026-08-02,2026.1,example-template-replace-me
tdtu-noi-tru-ky-tuc-xa,data\k3_university\tdtu-noi-tru-ky-tuc-xa.md,Quy định sinh hoạt học tập ứng xử nội trú ký túc xá (TDTU),https://baoloc.tdtu.edu.vn/quy-dinh-sinh-hoat-hoc-tap-ung-xu-noi-tru-ky-tuc-xa,2026-08-03,not-stated,public-source
ued-hoc-bong-ngoai-ngan-sach,data\k3_university\ued-hoc-bong-ngoai-ngan-sach.md,Quy định xét cấp học bổng khuyến khích học tập và học bổng ngoài ngân sách (UED),https://ctsv.ued.udn.vn/challenge.html?ip=14.238.145.226&redirect=/index.php/quy-dinh-27/quy-dinh-xet-cap-hoc-bong-khuyen-khich-hoc-tap-hoc-bong-ngoai-ngan-sach-cho-sinh-vien-bac-dai-hoc-he-chinh-quy-45.html,2026-08-03,not-stated,public-source
ueh-dang-ky-huy-hoc-phan,data\k3_university\ueh-dang-ky-huy-hoc-phan.md,Quy định đăng ký và hủy học phần đã đăng ký (UEH),https://daotao.ueh.edu.vn/quy-dinh-dang-ky-va-huy-hoc-phan-da-dang-ky-cua-sinh-vien-dai-hoc-chinh-quy-trong-dao-tao-theo-he-thong-tin-chi-tai-truong-dai-hoc-kinh-te-tp-ho-chi-minh/,2026-08-03,not-stated,public-source
ueh-hoc-bong-khuyen-khich,data\k3_university\ueh-hoc-bong-khuyen-khich.md,Quy định xét cấp học bổng khuyến khích học tập (UEH),https://daotao.ueh.edu.vn/quy-dinh-xet-cap-hoc-bong-khuyen-khich-hoc-tap-cho-sinh-vien-dai-hoc-chinh-quy/,2026-08-03,not-stated,public-source
