file_name,doc_id,strategy,chunk_count,avg_length_chars,context_preservation
hoc_bong_diem_ren_luyen.md,hoc_bong_diem_ren_luyen,fixed_size,26,193.0,Trung bình (cắt ngang câu nếu hết limit)
hoc_bong_diem_ren_luyen.md,hoc_bong_diem_ren_luyen,by_sentences,8,625.5,Tốt (giữ trọn vẹn từng câu)
hoc_bong_diem_ren_luyen.md,hoc_bong_diem_ren_luyen,recursive,33,150.8,Rất tốt (chia theo đoạn văn và câu)
hoc_phi_che_do_chinh_sach.md,hoc_phi_che_do_chinh_sach,fixed_size,26,194.7,Trung bình (cắt ngang câu nếu hết limit)
hoc_phi_che_do_chinh_sach.md,hoc_phi_che_do_chinh_sach,by_sentences,5,1001.6,Tốt (giữ trọn vẹn từng câu)
hoc_phi_che_do_chinh_sach.md,hoc_phi_che_do_chinh_sach,recursive,39,128.4,Rất tốt (chia theo đoạn văn và câu)
kham_chua_benh.md,kham_chua_benh,fixed_size,11,199.8,Trung bình (cắt ngang câu nếu hết limit)
kham_chua_benh.md,kham_chua_benh,by_sentences,3,730.0,Tốt (giữ trọn vẹn từng câu)
kham_chua_benh.md,kham_chua_benh,recursive,16,135.9,Rất tốt (chia theo đoạn văn và câu)
ky_tuc_xa.md,ky_tuc_xa,fixed_size,7,172.4,Trung bình (cắt ngang câu nếu hết limit)
ky_tuc_xa.md,ky_tuc_xa,by_sentences,2,602.0,Tốt (giữ trọn vẹn từng câu)
ky_tuc_xa.md,ky_tuc_xa,recursive,9,132.9,Rất tốt (chia theo đoạn văn và câu)
lich_su_truyen_thong.md,lich_su_truyen_thong,fixed_size,9,186.0,Trung bình (cắt ngang câu nếu hết limit)
lich_su_truyen_thong.md,lich_su_truyen_thong,by_sentences,6,277.5,Tốt (giữ trọn vẹn từng câu)
lich_su_truyen_thong.md,lich_su_truyen_thong,recursive,12,137.9,Rất tốt (chia theo đoạn văn và câu)
thong_tin_lien_he.md,thong_tin_lien_he,fixed_size,13,199.8,Trung bình (cắt ngang câu nếu hết limit)
thong_tin_lien_he.md,thong_tin_lien_he,by_sentences,4,645.2,Tốt (giữ trọn vẹn từng câu)
thong_tin_lien_he.md,thong_tin_lien_he,recursive,16,160.4,Rất tốt (chia theo đoạn văn và câu)
thu_tuc_hanh_chinh_mot_cua.md,thu_tuc_hanh_chinh_mot_cua,fixed_size,17,195.8,Trung bình (cắt ngang câu nếu hết limit)
thu_tuc_hanh_chinh_mot_cua.md,thu_tuc_hanh_chinh_mot_cua,by_sentences,1,3328.0,Tốt (giữ trọn vẹn từng câu)
thu_tuc_hanh_chinh_mot_cua.md,thu_tuc_hanh_chinh_mot_cua,recursive,24,137.2,Rất tốt (chia theo đoạn văn và câu)
